sample_id	sample_name	replicate	light_intensity	temperature	FvFm	Absorption_at_680_nm
SRR18936103	LightIntensity117.8_Temperature29.6_rep1	1	117.8	29.6	0.45725	0.425
SRR18936061	LightIntensity117.8_Temperature29.6_rep2	2	117.8	29.6	0.45725	0.526
SRR18936148	LightIntensity117.8_Temperature29.6_rep3	3	117.8	29.6	0.45725	0.515
SRR18936100	LightIntensity17.7_Temprature28.5_rep1	1	17.7	28.5	0.70975	0.518
SRR18936058	LightIntensity17.7_Temprature28.5_rep2	2	17.7	28.5	0.70975	0.579
SRR18936145	LightIntensity17.7_Temprature28.5_rep3	3	17.7	28.5	0.70975	0.569
SRR18936125	LightIntensity23.3_Temprature16.2_rep1	1	23.3	16.2	0.673916667	0.413
SRR18936083	LightIntensity23.3_Temprature16.2_rep2	2	23.3	16.2	0.673916667	0.473
SRR18936041	LightIntensity23.3_Temprature16.2_rep3	3	23.3	16.2	0.673916667	0.448
SRR18936116	LightIntensity324.8_Temperature24.1_rep1	1	324.8	24.1	0.36275	0.364
SRR18936074	LightIntensity324.8_Temperature24.1_rep2	2	324.8	24.1	0.36275	0.38
SRR18936161	LightIntensity324.8_Temperature24.1_rep3	3	324.8	24.1	0.36275	0.398
SRR18936123	LightIntensity332.4_Temperature21.2_rep1	1	332.4	21.2	0.378	0.311
SRR18936081	LightIntensity332.4_Temperature21.2_rep2	2	332.4	21.2	0.378	0.41
SRR18936167	LightIntensity332.4_Temperature21.2_rep3	3	332.4	21.2	0.378	0.322
SRR18936119	LightIntensity39.9_Temperature8_rep1	1	39.9	8	0.301666667	0.307
SRR18936096	LightIntensity39.9_Temperature8_rep2	2	39.9	8	0.301666667	0.363
SRR18936055	LightIntensity39.9_Temperature8_rep3	3	39.9	8	0.301666667	0.312
SRR18936102	LightIntensity64.5_Temperature29.2_rep1	1	64.5	29.2	0.600166667	0.435
SRR18936060	LightIntensity64.5_Temperature29.2_rep2	2	64.5	29.2	0.600166667	0.55
SRR18936147	LightIntensity64.5_Temperature29.2_rep3	3	64.5	29.2	0.600166667	0.546
SRR18936138	LightIntensity74.9_Temperature16.4_rep1	1	74.9	16.4	0.571	0.353
SRR18936085	LightIntensity74.9_Temperature16.4_rep2	2	74.9	16.4	0.571	0.381
SRR18936044	LightIntensity74.9_Temperature16.4_rep3	3	74.9	16.4	0.571	0.395